id,task,win,startf,posx_mean,posx_std,posy_mean,posy_std,eyex_mean,eyex_std,eyey_mean,eyey_std,eyexpos_corr,eyeypos_corr,path_total,path_speed,path_speed_sd,straightness,
103,2,30,38799,17.3306,9.1553,-0.89936,10.1547,52.9259,14.9353,29.0577,5.9861,0.70524,0.22081,9.2087,0.92087,0.18048,1.2232,
103,2,31,38949,6.109,9.8479,-5.4638,8.1197,46.2291,11.5665,27.0834,5.763,0.56312,0.70674,8.0365,0.80365,0.36814,2.0691,
103,2,32,39099,2.2141,8.7548,-1.6533,4.856,47.7027,17.0292,27.5649,5.4154,0.79252,0.07546,8.7948,0.87948,0.39828,1.1237,
103,2,33,39249,7.8829,10.2937,-3.5469,13.2764,51.5889,19.0731,33.7821,11.5902,0.61102,-0.20498,7.947,0.7947,0.35514,1.0775,
103,2,34,39399,-6.9491,20.8764,-3.6428,13.4661,45.5249,16.3595,32.8287,12.271,0.56084,0.20345,5.4261,0.54261,0.22673,1.3277,
103,2,35,39549,-14.749,17.2503,-4.437,11.2144,42.1383,13.1344,32.5442,10.4404,0.62488,0.039361,7.0421,0.70421,0.29594,1.2444,
103,2,36,39699,-8.0959,13.2152,-2.5177,12.6515,44.1465,13.4413,37.4276,15.3334,0.60814,-0.18301,7.6193,0.76193,0.35578,1.9011,
103,2,37,39849,-7.8245,8.7024,1.9098,5.8437,36.475,14.4922,32.4218,14.4973,0.3341,-0.16563,9.1372,0.91372,0.36983,1.0376,
103,2,38,39999,1.0467,8.1579,0.46892,3.1091,36.0266,12.3574,25.9237,4.7475,0.70506,-0.24398,12.5359,1.2536,0.11909,1.0177,
103,2,39,40149,2.9253,7.1106,2.8511,6.7565,41.5736,10.6599,29.9429,9.2557,0.44414,-0.47612,13.8306,1.3831,0.09973,1.0058,
103,2,40,40299,4.2441,10.938,-0.09273,10.1953,48.4587,17.5492,33.5977,10.5947,0.8069,-0.42045,10.6581,1.0658,0.38563,1.0755,
104,1,1,15789,4.4157,19.096,-13.0989,11.9772,41.9896,11.8134,32.9956,11.9986,0.38781,0.24323,12.4775,1.2477,0.2017,1.0063,
104,1,2,15939,6.8058,17.0754,-12.7682,7.8611,37.3608,11.5043,32.1796,10.676,0.55232,0.22599,13.5396,1.354,0.033208,1.004,
104,1,3,16089,1.1642,6.1534,-14.5631,8.2164,34.0519,7.5037,25.4368,6.4419,0.18879,0.034509,13.3594,1.3359,0.064975,1.0056,
104,1,4,16239,8.1638,16.5173,-12.191,8.8047,38.6373,14.6227,21.2745,5.6958,0.69577,-0.10445,13.8132,1.3813,0.087075,1.0053,
104,1,5,16389,6.7257,18.1801,-4.1404,5.8213,38.8938,14.4812,24.5032,9.2981,0.68017,-0.11499,13.8332,1.3833,0.071952,1.0029,
104,1,6,16539,0.65608,20.1219,-0.26865,3.7946,38.9602,16.1429,26.4,8.353,0.81393,-0.13303,13.2278,1.3228,0.037884,1.0516,
